Time,Temperature,Moisture,Ultrasonic (%)
18:28,30.0,22.0,65.0
18:43,30.1,22.4,65.3
18:58,30.2,22.9,65.6
19:13,30.4,23.4,65.9
19:28,30.5,23.8,66.2
19:43,30.6,24.2,66.5
19:58,30.7,24.7,66.8
20:13,30.8,25.1,67.1
20:28,31.0,25.6,67.4
20:43,31.1,26.1,67.7
20:58,31.2,26.5,68.0
21:13,31.3,26.9,68.3
21:28,31.4,27.4,68.6
21:43,31.6,27.9,68.9
21:58,31.7,28.3,69.2
22:13,31.8,28.8,69.5
22:28,31.9,29.2,69.8
22:43,32.0,29.6,70.1
22:58,32.2,30.1,70.4
23:13,32.3,30.6,70.7
23:28,32.4,31.0,71.0
23:43,32.5,31.5,71.3
23:58,32.6,31.9,71.6
00:13,32.8,32.4,71.9
00:28,32.9,32.8,72.2
00:43,33.0,33.2,72.5
00:58,33.1,33.7,72.8
01:13,33.2,34.1,73.1
01:28,33.4,34.6,73.4
01:43,33.5,35.0,73.7
01:58,33.6,35.5,74.0
02:13,33.7,36.0,74.3
02:28,33.8,36.4,74.6
02:43,34.0,36.9,74.9
02:58,34.1,37.3,75.2
03:13,34.2,37.8,75.5
03:28,34.3,38.2,75.8
03:43,34.4,38.7,76.1
03:58,34.6,39.1,76.4
04:13,34.7,39.5,76.7
04:28,34.8,40.0,77.0
04:43,34.9,40.5,77.3
04:58,35.0,40.9,77.6
05:13,35.2,41.4,77.9
05:28,35.3,41.8,78.2
05:43,35.4,22.2,78.5
05:58,35.5,22.7,78.8
06:13,35.6,23.2,79.1
06:28,35.8,23.6,79.4
06:43,35.9,24.1,79.7
